date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:03:35	89643/89643	---MCZ	200	added ('OK')	text/html	etag:W/%226128d42b-15e2b%22	https://html.themexriver.com/organio/index-1.html	C:/My%20Web%20Sites/Organic%20food/html.themexriver.com/organio/index-1.html	(from )
13:03:36	50/50	---MCZ	200	added ('OK')	text/plain	date:Wed,%2001%20Feb%202023%2007:33:35%20GMT	https://html.themexriver.com/robots.txt		(from )
13:03:36	1693/1693	---M--	200	added ('OK')	image/png	etag:%226128d42b-69d%22	https://html.themexriver.com/organio/assets/img/logo/ficon.png	C:/My%20Web%20Sites/Organic%20food/html.themexriver.com/organio/assets/img/logo/ficon.png	(from https://html.themexriver.com/organio/index-1.html)
13:03:36	154875/154875	---MCZ	200	added ('OK')	text/css	etag:W/%226128d42b-25cfb%22	https://html.themexriver.com/organio/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/Organic%20food/html.themexriver.com/organio/assets/css/bootstrap.min.css	(from https://html.themexriver.com/organio/index-1.html)
13:03:36	211752/211752	---MCZ	200	added ('OK')	text/css	etag:W/%226128d42b-33b28%22	https://html.themexriver.com/organio/assets/css/fontawesome-all.css	C:/My%20Web%20Sites/Organic%20food/html.themexriver.com/organio/assets/css/fontawesome-all.css	(from https://html.themexriver.com/organio/index-1.html)
13:03:36	4816/4816	---MCZ	200	added ('OK')	text/css	etag:W/%226128d42b-12d0%22	https://html.themexriver.com/organio/assets/css/flaticon.css	C:/My%20Web%20Sites/Organic%20food/html.themexriver.com/organio/assets/css/flaticon.css	(from https://html.themexriver.com/organio/index-1.html)
13:03:37	84769/84769	---MCZ	200	added ('OK')	text/css	etag:W/%226128d42b-14b21%22	https://html.themexriver.com/organio/assets/css/animate.css	C:/My%20Web%20Sites/Organic%20food/html.themexriver.com/organio/assets/css/animate.css	(from https://html.themexriver.com/organio/index-1.html)
13:03:37	13671/13671	---MCZ	200	added ('OK')	text/css	etag:W/%226128d42b-3567%22	https://html.themexriver.com/organio/assets/css/video.min.css	C:/My%20Web%20Sites/Organic%20food/html.themexriver.com/organio/assets/css/video.min.css	(from https://html.themexriver.com/organio/index-1.html)
13:03:37	54855/54855	---MCZ	200	added ('OK')	text/css	etag:W/%226128d42b-d647%22	https://html.themexriver.com/organio/assets/css/jquery.mCustomScrollbar.min.css	C:/My%20Web%20Sites/Organic%20food/html.themexriver.com/organio/assets/css/jquery.mCustomScrollbar.min.css	(from https://html.themexriver.com/organio/index-1.html)
13:03:37	59103/59103	---MCZ	200	added ('OK')	text/css	etag:W/%226128d42b-e6df%22	https://html.themexriver.com/organio/assets/css/rs6.css	C:/My%20Web%20Sites/Organic%20food/html.themexriver.com/organio/assets/css/rs6.css	(from https://html.themexriver.com/organio/index-1.html)
13:03:38	1729/1729	---MCZ	200	added ('OK')	text/css	etag:W/%226128d42b-6c1%22	https://html.themexriver.com/organio/assets/css/slick.css	C:/My%20Web%20Sites/Organic%20food/html.themexriver.com/organio/assets/css/slick.css	(from https://html.themexriver.com/organio/index-1.html)
13:03:38	3166/3166	---MCZ	200	added ('OK')	text/css	etag:W/%226128d42b-c5e%22	https://html.themexriver.com/organio/assets/css/slick-theme.css	C:/My%20Web%20Sites/Organic%20food/html.themexriver.com/organio/assets/css/slick-theme.css	(from https://html.themexriver.com/organio/index-1.html)
13:03:38	183462/183462	---MCZ	200	added ('OK')	text/css	etag:W/%226128d42b-2cca6%22	https://html.themexriver.com/organio/assets/css/style.css	C:/My%20Web%20Sites/Organic%20food/html.themexriver.com/organio/assets/css/style.css	(from https://html.themexriver.com/organio/index-1.html)
13:03:38	4899/4899	---M--	200	added ('OK')	image/png	etag:%226128d42b-1323%22	https://html.themexriver.com/organio/assets/img/logo/logo1.png	C:/My%20Web%20Sites/Organic%20food/html.themexriver.com/organio/assets/img/logo/logo1.png	(from https://html.themexriver.com/organio/index-1.html)
13:03:38	75193/75193	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2001%20Feb%202023%2007:33:38%20GMT	https://html.themexriver.com/organio/!	C:/My%20Web%20Sites/Organic%20food/html.themexriver.com/organio/!	(from https://html.themexriver.com/organio/index-1.html)
13:03:39	23424/23424	---MCZ	200	added ('OK')	text/html	etag:W/%226128d42b-5b80%22	https://html.themexriver.com/organio/index.html	C:/My%20Web%20Sites/Organic%20food/html.themexriver.com/organio/index.html	(from https://html.themexriver.com/organio/index-1.html)
13:03:39	53033/53033	---MCZ	200	added ('OK')	text/html	etag:W/%226128d42b-cf29%22	https://html.themexriver.com/organio/index-2.html	C:/My%20Web%20Sites/Organic%20food/html.themexriver.com/organio/index-2.html	(from https://html.themexriver.com/organio/index-1.html)
13:03:39	45497/45497	---MCZ	200	added ('OK')	text/html	etag:W/%226128d42b-b1b9%22	https://html.themexriver.com/organio/index-3.html	C:/My%20Web%20Sites/Organic%20food/html.themexriver.com/organio/index-3.html	(from https://html.themexriver.com/organio/index-1.html)
13:03:39	60326/60326	---MCZ	200	added ('OK')	text/html	etag:W/%226128d42b-eba6%22	https://html.themexriver.com/organio/index-4.html	C:/My%20Web%20Sites/Organic%20food/html.themexriver.com/organio/index-4.html	(from https://html.themexriver.com/organio/index-1.html)
13:03:40	32076/32076	---MCZ	200	added ('OK')	text/html	etag:W/%226128d42b-7d4c%22	https://html.themexriver.com/organio/about.html	C:/My%20Web%20Sites/Organic%20food/html.themexriver.com/organio/about.html	(from https://html.themexriver.com/organio/index-1.html)
13:03:40	27325/27325	---MCZ	200	added ('OK')	text/html	etag:W/%226128d42b-6abd%22	https://html.themexriver.com/organio/shop.html	C:/My%20Web%20Sites/Organic%20food/html.themexriver.com/organio/shop.html	(from https://html.themexriver.com/organio/index-1.html)
13:03:40	31179/31179	---MCZ	200	added ('OK')	text/html	etag:W/%226128d42b-79cb%22	https://html.themexriver.com/organio/shop-single.html	C:/My%20Web%20Sites/Organic%20food/html.themexriver.com/organio/shop-single.html	(from https://html.themexriver.com/organio/index-1.html)
13:03:40	22442/22442	---MCZ	200	added ('OK')	text/html	etag:W/%226128d42b-57aa%22	https://html.themexriver.com/organio/cart.html	C:/My%20Web%20Sites/Organic%20food/html.themexriver.com/organio/cart.html	(from https://html.themexriver.com/organio/index-1.html)
13:03:40	23249/23249	---MCZ	200	added ('OK')	text/html	etag:W/%226128d42b-5ad1%22	https://html.themexriver.com/organio/checkout.html	C:/My%20Web%20Sites/Organic%20food/html.themexriver.com/organio/checkout.html	(from https://html.themexriver.com/organio/index-1.html)
13:03:41	26261/26261	---MCZ	200	added ('OK')	text/html	etag:W/%226128d42b-6695%22	https://html.themexriver.com/organio/service.html	C:/My%20Web%20Sites/Organic%20food/html.themexriver.com/organio/service.html	(from https://html.themexriver.com/organio/index-1.html)
13:03:41	24628/24628	---MCZ	200	added ('OK')	text/html	etag:W/%226128d42b-6034%22	https://html.themexriver.com/organio/service-single.html	C:/My%20Web%20Sites/Organic%20food/html.themexriver.com/organio/service-single.html	(from https://html.themexriver.com/organio/index-1.html)
13:03:41	20561/20561	---MCZ	200	added ('OK')	text/html	etag:W/%226128d42b-5051%22	https://html.themexriver.com/organio/contact.html	C:/My%20Web%20Sites/Organic%20food/html.themexriver.com/organio/contact.html	(from https://html.themexriver.com/organio/index-1.html)
13:03:41	17150/17150	---MCZ	200	added ('OK')	text/html	etag:W/%226128d42b-42fe%22	https://html.themexriver.com/organio/404.html	C:/My%20Web%20Sites/Organic%20food/html.themexriver.com/organio/404.html	(from https://html.themexriver.com/organio/index-1.html)
13:03:42	24589/24589	---MCZ	200	added ('OK')	text/html	etag:W/%226128d42b-600d%22	https://html.themexriver.com/organio/team.html	C:/My%20Web%20Sites/Organic%20food/html.themexriver.com/organio/team.html	(from https://html.themexriver.com/organio/index-1.html)
13:03:42	21307/21307	---MCZ	200	added ('OK')	text/html	etag:W/%226128d42b-533b%22	https://html.themexriver.com/organio/team-single.html	C:/My%20Web%20Sites/Organic%20food/html.themexriver.com/organio/team-single.html	(from https://html.themexriver.com/organio/index-1.html)
13:03:42	22911/22911	---MCZ	200	added ('OK')	text/html	etag:W/%226128d42b-597f%22	https://html.themexriver.com/organio/blog.html	C:/My%20Web%20Sites/Organic%20food/html.themexriver.com/organio/blog.html	(from https://html.themexriver.com/organio/index-1.html)
13:03:42	30171/30171	---MCZ	200	added ('OK')	text/html	etag:W/%226128d42b-75db%22	https://html.themexriver.com/organio/blog-single.html	C:/My%20Web%20Sites/Organic%20food/html.themexriver.com/organio/blog-single.html	(from https://html.themexriver.com/organio/index-1.html)
13:03:43	22192/22192	---MCZ	200	added ('OK')	text/html	etag:W/%226128d42b-56b0%22	https://html.themexriver.com/organio/project.html	C:/My%20Web%20Sites/Organic%20food/html.themexriver.com/organio/project.html	(from https://html.themexriver.com/organio/index-1.html)
13:03:43	20408/20408	---MCZ	200	added ('OK')	text/html	etag:W/%226128d42b-4fb8%22	https://html.themexriver.com/organio/project-single.html	C:/My%20Web%20Sites/Organic%20food/html.themexriver.com/organio/project-single.html	(from https://html.themexriver.com/organio/index-1.html)
13:03:43	16910/16910	---M--	200	added ('OK')	image/jpeg	etag:%226128d42b-420e%22	https://html.themexriver.com/organio/assets/img/product/pro1.jpg	C:/My%20Web%20Sites/Organic%20food/html.themexriver.com/organio/assets/img/product/pro1.jpg	(from https://html.themexriver.com/organio/index-1.html)
13:03:43	24041/24041	---M--	200	added ('OK')	image/jpeg	etag:%226128d42b-5de9%22	https://html.themexriver.com/organio/assets/img/product/pro2.jpg	C:/My%20Web%20Sites/Organic%20food/html.themexriver.com/organio/assets/img/product/pro2.jpg	(from https://html.themexriver.com/organio/index-1.html)
13:03:44	29412/29412	---M--	200	added ('OK')	image/jpeg	etag:%226128d42b-72e4%22	https://html.themexriver.com/organio/assets/img/product/pro3.jpg	C:/My%20Web%20Sites/Organic%20food/html.themexriver.com/organio/assets/img/product/pro3.jpg	(from https://html.themexriver.com/organio/index-1.html)
13:03:44	122/122	---M--	200	added ('OK')	image/png	etag:%226128d42b-7a%22	https://html.themexriver.com/organio/assets/transparent.png	C:/My%20Web%20Sites/Organic%20food/html.themexriver.com/organio/assets/transparent.png	(from https://html.themexriver.com/organio/index-1.html)
13:03:44	942/942	---M--	200	added ('OK')	image/png	etag:%226128d42b-3ae%22	https://html.themexriver.com/organio/assets/slider-arow1.png	C:/My%20Web%20Sites/Organic%20food/html.themexriver.com/organio/assets/slider-arow1.png	(from https://html.themexriver.com/organio/index-1.html)
13:03:44	350153/350153	---M--	200	added ('OK')	image/png	etag:%226128d42b-557c9%22	https://html.themexriver.com/organio/assets/slider-layer1.png	C:/My%20Web%20Sites/Organic%20food/html.themexriver.com/organio/assets/slider-layer1.png	(from https://html.themexriver.com/organio/index-1.html)
13:03:45	5292/5292	---M--	200	added ('OK')	image/jpeg	etag:%226128d42b-14ac%22	https://html.themexriver.com/organio/assets/slider-bg1-scaled.jpg	C:/My%20Web%20Sites/Organic%20food/html.themexriver.com/organio/assets/slider-bg1-scaled.jpg	(from https://html.themexriver.com/organio/index-1.html)
13:03:45	288409/288409	---M--	200	added ('OK')	image/png	etag:%226128d42b-46699%22	https://html.themexriver.com/organio/assets/slider-layer2.png	C:/My%20Web%20Sites/Organic%20food/html.themexriver.com/organio/assets/slider-layer2.png	(from https://html.themexriver.com/organio/index-1.html)
13:03:45	27996/27996	---M--	200	added ('OK')	image/png	etag:%226128d42b-6d5c%22	https://html.themexriver.com/organio/assets/slider-layer4.png	C:/My%20Web%20Sites/Organic%20food/html.themexriver.com/organio/assets/slider-layer4.png	(from https://html.themexriver.com/organio/index-1.html)
13:03:45	57369/57369	---M--	200	added ('OK')	image/png	etag:%226128d42b-e019%22	https://html.themexriver.com/organio/assets/slider-layer3.png	C:/My%20Web%20Sites/Organic%20food/html.themexriver.com/organio/assets/slider-layer3.png	(from https://html.themexriver.com/organio/index-1.html)
13:03:45	17804/17804	---M--	200	added ('OK')	image/png	etag:%226128d42b-458c%22	https://html.themexriver.com/organio/assets/slider-layer7.png	C:/My%20Web%20Sites/Organic%20food/html.themexriver.com/organio/assets/slider-layer7.png	(from https://html.themexriver.com/organio/index-1.html)
13:03:46	10552/10552	---M--	200	added ('OK')	image/png	etag:%226128d42b-2938%22	https://html.themexriver.com/organio/assets/slider-layer5.png	C:/My%20Web%20Sites/Organic%20food/html.themexriver.com/organio/assets/slider-layer5.png	(from https://html.themexriver.com/organio/index-1.html)
13:03:46	20273/20273	---M--	200	added ('OK')	image/png	etag:%226128d42b-4f31%22	https://html.themexriver.com/organio/assets/slider-layer6.png	C:/My%20Web%20Sites/Organic%20food/html.themexriver.com/organio/assets/slider-layer6.png	(from https://html.themexriver.com/organio/index-1.html)
